Lifecycle Stage,ObservationEvent Type,Data Feature,Example,Temporal,Spatial,Empirical
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Concrete (1 m³),Concrete (1 m³) = 350 kgCO₂e,A1–A3,IfcWall,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Rebar steel (1 ton),Rebar steel (1 ton) = 1.9 ton CO₂e,A1–A3,IfcBeam,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Insulation board (1 m²),Insulation board (1 m²) = 15 kgCO₂e,A1–A3,IfcCovering,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Cement (1 ton),Cement (1 ton) = 850 kgCO₂e,A1–A3,IfcBuildingElement,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Glass (1 m²),Glass (1 m²) = 25 kgCO₂e,A1–A3,IfcWindow,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Aluminum profile (1 kg),Aluminum profile (1 kg) = 10 kgCO₂e,A1–A3,IfcDoor,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Gypsum board (1 m²),Gypsum board (1 m²) = 12 kgCO₂e,A1–A3,IfcWall,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Timber (1 m³),Timber (1 m³) = 500 kgCO₂e,A1–A3,IfcColumn,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Paint (1 liter),Paint (1 liter) = 5 kgCO₂e,A1–A3,IfcCovering,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of PVC pipe (1 m),PVC pipe (1 m) = 3 kgCO₂e,A1–A3,IfcPipeSegment,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Copper cable (1 kg),Copper cable (1 kg) = 4 kgCO₂e,A1–A3,IfcCableSegment,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Ceramic tile (1 m²),Ceramic tile (1 m²) = 8 kgCO₂e,A1–A3,IfcCovering,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Steel plate (1 ton),Steel plate (1 ton) = 2.1 ton CO₂e,A1–A3,IfcPlate,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Bitumen membrane (1 m²),Bitumen membrane (1 m²) = 6 kgCO₂e,A1–A3,IfcRoof,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Plastic insulation (1 kg),Plastic insulation (1 kg) = 2.5 kgCO₂e,A1–A3,IfcCovering,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Stone cladding (1 m²),Stone cladding (1 m²) = 30 kgCO₂e,A1–A3,IfcWall,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Mortar (1 ton),Mortar (1 ton) = 400 kgCO₂e,A1–A3,IfcWall,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Stainless steel (1 ton),Stainless steel (1 ton) = 3.1 ton CO₂e,A1–A3,IfcBeam,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Wool insulation (1 m²),Wool insulation (1 m²) = 12 kgCO₂e,A1–A3,IfcCovering,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,"Embodied carbon in production of Clay brick (1,000 units)","Clay brick (1,000 units) = 250 kgCO₂e",A1–A3,IfcWall,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Sand (1 ton),Sand (1 ton) = 5 kgCO₂e,A1–A3,IfcBuildingElement,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Aggregates (1 ton),Aggregates (1 ton) = 15 kgCO₂e,A1–A3,IfcBuildingElement,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Solar panel (1 m²),Solar panel (1 m²) = 45 kgCO₂e,A1–A3,IfcBuildingElementProxy,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of HVAC duct (1 m),HVAC duct (1 m) = 12 kgCO₂e,A1–A3,IfcFlowSegment,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Recycled steel (1 ton),Recycled steel (1 ton) = 0.8 ton CO₂e,A1–A3,IfcBeam,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Engineered wood (1 m³),Engineered wood (1 m³) = 300 kgCO₂e,A1–A3,IfcSlab,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Glass wool (1 m²),Glass wool (1 m²) = 9 kgCO₂e,A1–A3,IfcCovering,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Laminated glass (1 m²),Laminated glass (1 m²) = 40 kgCO₂e,A1–A3,IfcWindow,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Polyurethane foam (1 m³),Polyurethane foam (1 m³) = 120 kgCO₂e,A1–A3,IfcCovering,EPD/LCA database
A1–A3 Product,EPD / LCA-based material data,Embodied carbon in production of Asphalt (1 ton),Asphalt (1 ton) = 500 kgCO₂e,A1–A3,IfcSlab,EPD/LCA database
