Lifecycle Stage,ObservationEvent Type,Data Feature,Example,Temporal,Spatial,Empirical
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from AHU-12 electricity consumption at 2025-09-16 10:00,AHU-12 electricity consumption at 2025-09-16 10:00 = 8.2 kWh,B6 / B7,IfcSystem,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Chiller-01 daily electricity use,Chiller-01 daily electricity use = 120 kWh,B6 / B7,IfcBuildingSystem,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Lighting system in Space-101 (1 day),Lighting system in Space-101 (1 day) = 15 kWh,B6 / B7,IfcSpace,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Pump-03 operation (2h),Pump-03 operation (2h) = 5 kWh,B6 / B7,IfcFlowSegment,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Fan-05 runtime (8h),Fan-05 runtime (8h) = 12 kWh,B6 / B7,IfcFlowTerminal,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Elevator-02 trips (1 day),Elevator-02 trips (1 day) = 50 kWh,B6 / B7,IfcTransportElement,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Server room cooling demand,Server room cooling demand = 200 kWh,B6 / B7,IfcSpace,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Hot water heater daily use,Hot water heater daily use = 35 kWh,B6 / B7,IfcBuildingSystem,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Smart plug device-07 (1h),Smart plug device-07 (1h) = 0.5 kWh,B6 / B7,IfcFlowTerminal,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from VRF system zone-201 (24h),VRF system zone-201 (24h) = 85 kWh,B6 / B7,IfcSystem,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Office floor HVAC (1 day),Office floor HVAC (1 day) = 400 kWh,B6 / B7,IfcSystem,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Sensor reading: corridor lighting (1 night),Sensor reading: corridor lighting (1 night) = 8 kWh,B6 / B7,IfcSpace,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Smart meter: Building A (monthly),"Smart meter: Building A (monthly) = 12,000 kWh",B6 / B7,IfcBuilding,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from IoT water meter: Zone 2 (1 day),IoT water meter: Zone 2 (1 day) = 2.3 m³,B6 / B7,IfcSpace,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from IoT gas meter: Boiler room (1 day),IoT gas meter: Boiler room (1 day) = 150 kWh,B6 / B7,IfcBuildingSystem,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Solar PV production fed to grid,Solar PV production fed to grid = -50 kWh,B6 / B7,IfcBuildingElementProxy,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Battery storage discharge,Battery storage discharge = 20 kWh,B6 / B7,IfcBuildingSystem,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from IoT temp/humidity sensor linked energy impact,IoT temp/humidity sensor linked energy impact = 5 kWh adjust,B6 / B7,IfcSpace,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Data center cooling fan (1 day),Data center cooling fan (1 day) = 180 kWh,B6 / B7,IfcSystem,IoT smart meters / sensors
