Lifecycle Stage,ObservationEvent Type,Data Feature,Example,Temporal,Spatial,Empirical
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Truck transport 20 tons steel,"Truck transport 20 tons steel = 2,500 kgCO₂e",A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Concrete pump operation (8h),Concrete pump operation (8h) = 350 kgCO₂e,A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Excavator diesel use (5h),Excavator diesel use (5h) = 500 kgCO₂e,A4–A5,IfcSite,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Tower crane electricity (1 day),Tower crane electricity (1 day) = 220 kgCO₂e,A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of On-site welding 100 kg electrodes,On-site welding 100 kg electrodes = 180 kgCO₂e,A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Transport 50 m³ concrete,"Transport 50 m³ concrete = 1,200 kgCO₂e",A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Generator electricity (200 kWh),Generator electricity (200 kWh) = 100 kgCO₂e,A4–A5,IfcSite,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Material waste (5% of concrete),Material waste (5% of concrete) = 400 kgCO₂e,A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Steel cutting machine (4h),Steel cutting machine (4h) = 60 kgCO₂e,A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Truck transport 10 tons glass,"Truck transport 10 tons glass = 1,000 kgCO₂e",A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Excavator idling (3h),Excavator idling (3h) = 120 kgCO₂e,A4–A5,IfcSite,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Temporary lighting (1 week),Temporary lighting (1 week) = 90 kgCO₂e,A4–A5,IfcSite,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Transport 200 m² insulation board,Transport 200 m² insulation board = 300 kgCO₂e,A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Worker commuting (100 workers),Worker commuting (100 workers) = 250 kgCO₂e,A4–A5,IfcSite,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Transport 15 tons aluminum profiles,"Transport 15 tons aluminum profiles = 1,800 kgCO₂e",A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Concrete mixer truck (2h),Concrete mixer truck (2h) = 150 kgCO₂e,A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of On-site water pumping (2 days),On-site water pumping (2 days) = 60 kgCO₂e,A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Material rework waste,Material rework waste = 350 kgCO₂e,A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Mobile crane (1 day),Mobile crane (1 day) = 180 kgCO₂e,A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Transport 5 tons timber,Transport 5 tons timber = 200 kgCO₂e,A4–A5,IfcTask,IoT sensors / log files / site records
