Lifecycle Stage,ObservationEvent Type,Data Feature,Example,Temporal,Spatial,Empirical
B6 / B7 Use stage,Utility billing record,Utility consumption record for Building A electricity bill (Sep-2025),"Building A electricity bill (Sep-2025) = 12,340 kWh",B6 / B7,IfcBuilding,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Building A water bill (Sep-2025),"Building A water bill (Sep-2025) = 1,250 m³",B6 / B7,IfcBuilding,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Building B electricity bill (Aug-2025),"Building B electricity bill (Aug-2025) = 9,800 kWh",B6 / B7,IfcBuilding,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Building B water bill (Aug-2025),Building B water bill (Aug-2025) = 980 m³,B6 / B7,IfcBuilding,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Building C electricity bill (Jul-2025),"Building C electricity bill (Jul-2025) = 15,600 kWh",B6 / B7,IfcBuilding,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Building C water bill (Jul-2025),"Building C water bill (Jul-2025) = 1,420 m³",B6 / B7,IfcBuilding,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Office floor 3 sub-meter electricity (Sep-2025),"Office floor 3 sub-meter electricity (Sep-2025) = 2,300 kWh",B6 / B7,IfcSpace,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Office floor 3 sub-meter water (Sep-2025),Office floor 3 sub-meter water (Sep-2025) = 90 m³,B6 / B7,IfcSpace,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Data center monthly electricity,"Data center monthly electricity = 35,000 kWh",B6 / B7,IfcBuildingSystem,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Cafeteria monthly gas use,"Cafeteria monthly gas use = 4,500 kWh",B6 / B7,IfcBuildingSystem,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Parking garage lighting electricity,"Parking garage lighting electricity = 1,200 kWh",B6 / B7,IfcSpace,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Building A EV chargers electricity,"Building A EV chargers electricity = 2,500 kWh",B6 / B7,IfcFlowTerminal,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Building B chilled water utility,Building B chilled water utility = 850 m³,B6 / B7,IfcSystem,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Building A steam heating bill,"Building A steam heating bill = 6,700 kWh",B6 / B7,IfcBuildingSystem,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Dormitory electricity bill,"Dormitory electricity bill = 4,300 kWh",B6 / B7,IfcBuilding,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Dormitory water bill,Dormitory water bill = 430 m³,B6 / B7,IfcBuilding,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Campus total electricity (Sep-2025),"Campus total electricity (Sep-2025) = 80,000 kWh",B6 / B7,IfcBuilding,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Campus total water (Sep-2025),"Campus total water (Sep-2025) = 7,200 m³",B6 / B7,IfcBuilding,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Building C cooling water loop,"Building C cooling water loop = 1,250 m³",B6 / B7,IfcSystem,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Warehouse electricity bill,"Warehouse electricity bill = 2,700 kWh",B6 / B7,IfcBuilding,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Warehouse water bill,Warehouse water bill = 320 m³,B6 / B7,IfcBuilding,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Sports hall electricity,"Sports hall electricity = 5,200 kWh",B6 / B7,IfcBuilding,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Sports hall water,Sports hall water = 560 m³,B6 / B7,IfcBuilding,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Library monthly electricity,"Library monthly electricity = 3,400 kWh",B6 / B7,IfcBuilding,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Library monthly water,Library monthly water = 450 m³,B6 / B7,IfcBuilding,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Hospital electricity,"Hospital electricity = 42,000 kWh",B6 / B7,IfcBuilding,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Hospital water,"Hospital water = 6,200 m³",B6 / B7,IfcBuilding,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Lab building electricity,"Lab building electricity = 11,500 kWh",B6 / B7,IfcBuilding,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Lab building water,"Lab building water = 1,150 m³",B6 / B7,IfcBuilding,Utility bills / official meter readings
B6 / B7 Use stage,Utility billing record,Utility consumption record for Admin building electricity,"Admin building electricity = 6,700 kWh",B6 / B7,IfcBuilding,Utility bills / official meter readings
