Entity,Definition,Attr_Name,Attr_Type,Attr_Desc
IfcTypeObject,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,GlobalId,IfcGloballyUniqueId,Assignment of a globally unique identifier within the entire software world.
IfcTypeObject,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,OwnerHistory,OPTIONAL IfcOwnerHistory,"Assignment of the information about the current ownership of that object, including owning actor, application, local identification and information captured about the recent changes of the object. NOTE Only the last modification is stored - either as addition, deletion or modification. IFC4-CHANGE The attribute has been changed to be OPTIONAL."
IfcTypeObject,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Description,OPTIONAL IfcText,"An optional description, provided to exchange informative comments."
IfcTypeObject,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,HasAssignments,SET [0:?] OF IfcRelAssigns FOR RelatedObjects,"Reference to the relationship objects, that assign (by an association relationship) other subtypes of IfcObject to this object instance. Examples are the association to products, processes, controls, resources or groups."
IfcTypeObject,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Nests,SET [0:1] OF IfcRelNests FOR RelatedObjects,References to the decomposition relationship being a nesting. It determines that this object definition is a part within an ordered whole/part decomposition relationship. An object occurrence or type can only be part of a single decomposition (to allow hierarchical structures only). IFC4-CHANGE The inverse attribute datatype has been added and separated from Decomposes defined at IfcObjectDefinition .
IfcTypeObject,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsNestedBy,SET [0:?] OF IfcRelNests FOR RelatingObject,References to the decomposition relationship being a nesting. It determines that this object definition is the whole within an ordered whole/part decomposition relationship. An object or object type can be nested by several other objects (occurrences or types). IFC4-CHANGE The inverse attribute datatype has been added and separated from IsDecomposedBy defined at IfcObjectDefinition .
IfcTypeObject,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,HasContext,SET [0:1] OF IfcRelDeclares FOR RelatedDefinitions,References to the context providing context information such as project unit or representation context. It should only be asserted for the uppermost non-spatial object. IFC4-CHANGE The inverse attribute datatype has been added.
IfcTypeObject,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsDecomposedBy,SET [0:?] OF IfcRelAggregates FOR RelatingObject,References to the decomposition relationship being an aggregation. It determines that this object definition is the whole within an unordered whole/part decomposition relationship. An object definition can be aggregated by several other objects (occurrences or parts). IFC4-CHANGE The inverse attribute datatype has been changed from the supertype IfcRelDecomposes to subtype IfcRelAggregates .
IfcTypeObject,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Decomposes,SET [0:1] OF IfcRelAggregates FOR RelatedObjects,References to the decomposition relationship being an aggregation. It determines that this object definition is a part within an unordered whole/part decomposition relationship. An object definition can only be part of a single decomposition (to allow hierarchical structures only). IFC4-CHANGE The inverse attribute datatype has been changed from the supertype IfcRelDecomposes to subtype IfcRelAggregates .
IfcTypeObject,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,HasAssociations,SET [0:?] OF IfcRelAssociates FOR RelatedObjects,"Reference to the relationship objects, that associates external references or other resource definitions to the object. Examples are the association to library, documentation or classification."
IfcTypeObject,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,ApplicableOccurrence,OPTIONAL IfcIdentifier,"The attribute optionally defines the data type of the occurrence object, to which the assigned type object can relate. If not present, no restriction is given regarding which occurrence object the type object is applicable to. The following conventions are used: The IFC entity name of the applicable occurrence using the IFC naming convention (CamelCase with ""Ifc"" prefix). Optionally followed by the predefined type after a “/” (forward slash), in uppercase. If one type object is applicable to many occurrence objects, then those occurrence object names should be separated by commas "","" forming a comma separated string. EXAMPLE Referring to a furniture as applicable occurrence entity would be expressed as ' IfcFurnishingElement ', referring to a brace as applicable entity would be expressed as ' IfcMember /BRACE'."
IfcTypeObject,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,HasPropertySets,OPTIONAL SET [1:?] OF IfcPropertySetDefinition,Set of unique property sets that are associated with the object type and are common to all object occurrences referring to this object type. IFC2x3-CHANGE The attribute aggregate type has been changed from LIST to SET.
IfcTypeObject,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Types,SET [0:1] OF IfcRelDefinesByType FOR RelatingType,"Reference to the relationship IfcRelDefinesByType and thus to those occurrence objects, which are defined by this type."
IfcTypeObject,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,NameRequired,,A Name attribute shall be provided. The name can be declared within the IFC specification as part of the property set agreements.
IfcTypeObject,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,UniquePropertySetNames,,Every individual IfcPropertySetDefinition assigned to the instance in the attribute HasPropertySets shall have a unique Name attribute value.
IfcProcess,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,GlobalId,IfcGloballyUniqueId,Assignment of a globally unique identifier within the entire software world.
IfcProcess,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,OwnerHistory,OPTIONAL IfcOwnerHistory,"Assignment of the information about the current ownership of that object, including owning actor, application, local identification and information captured about the recent changes of the object. NOTE Only the last modification is stored - either as addition, deletion or modification. IFC4-CHANGE The attribute has been changed to be OPTIONAL."
IfcProcess,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,Description,OPTIONAL IfcText,"An optional description, provided to exchange informative comments."
IfcProcess,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,HasAssignments,SET [0:?] OF IfcRelAssigns FOR RelatedObjects,"Reference to the relationship objects, that assign (by an association relationship) other subtypes of IfcObject to this object instance. Examples are the association to products, processes, controls, resources or groups."
IfcProcess,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,Nests,SET [0:1] OF IfcRelNests FOR RelatedObjects,References to the decomposition relationship being a nesting. It determines that this object definition is a part within an ordered whole/part decomposition relationship. An object occurrence or type can only be part of a single decomposition (to allow hierarchical structures only). IFC4-CHANGE The inverse attribute datatype has been added and separated from Decomposes defined at IfcObjectDefinition .
IfcProcess,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,IsNestedBy,SET [0:?] OF IfcRelNests FOR RelatingObject,References to the decomposition relationship being a nesting. It determines that this object definition is the whole within an ordered whole/part decomposition relationship. An object or object type can be nested by several other objects (occurrences or types). IFC4-CHANGE The inverse attribute datatype has been added and separated from IsDecomposedBy defined at IfcObjectDefinition .
