Property,Domain,Range,Description
bs:alignedWith,bs:CarbonResult,bs:LifecycleModule,Aligns result to lifecycle module
bs:aggregates,bs:LifecycleModule,bs:CarbonResult,Module aggregates multiple results
bs:contributesTo,ifc:IfcAsset,ifc:IfcAsset,Building contributes to Campus footprint
prov:wasGeneratedBy,bs:CarbonResult,prov:Activity,Result generated by activity
prov:wasAttributedTo,bs:CarbonResult,prov:Agent,Result attribution to agent
prov:used,prov:Activity,rdfs:Resource,"Activity used resource (obs, factor, material)"
prov:wasDerivedFrom,bs:ActivityQuantity,rdfs:Resource,Quantity derived from resource
bs:hasMaterial,ifc:IfcBuildingElement,bs:Material,Element uses material
bs:hasEmissionFactor,bs:ActivityQuantity,bs:EmissionFactor,Quantity has emission factor
bs:hasElectricityConsumption,ifc:IfcAsset,bs:ElectricityMeter,Asset has meter
sosa:madeObservation,sosa:Sensor,sosa:Observation,Sensor made observation
bs:hasObservation,ifc:IfcAsset,sosa:Observation,Asset has an observation
